"FIPS","Population","HS","BAorHigher","Owner_Occupied","Uninsured","Poverty","MetroArea","Unemployment","HHIncome_med","HHInc_PercStateTotal","Rural_Urban","UrbanInfCode","EconType","Male","WhiteAlone","BlackAlone","AsianAlone","Hispanic","Multiple"
40051,"55551",39.8,19.7,NA,NA,10.1,"Yes",3.1,"56489 ",108.8,"1 - Metro (1 million+ urban pop.)","1 - Large (metro, 1 million+ residents)","Nonspecialized",NA,NA,NA,NA,NA,NA
40053,"4326",34.7,23.1,NA,NA,12.7,"No",2.1,"49073 ",94.5,"9 - Nonmetro (rural or < 2,500 urban pop., not adjacent to metro)","10 - Noncore (adjacent to micro area, with no town of ≥ 2,500)","Farming",NA,NA,NA,NA,NA,NA
40055,"5821",36.6,13.5,NA,NA,26,"No",4,"37445 ",72.1,"7 - Nonmetro (2,500 to 19,999 urban pop., not adjacent to metro)","9 - Noncore (adjacent to micro area, with a town of 2,500 to 19,999)","Government",NA,NA,NA,NA,NA,NA
40057,"2664",23.5,21.3,NA,NA,23.9,"No",2.9,"38537 ",74.2,"9 - Nonmetro (rural or < 2,500 urban pop., not adjacent to metro)","10 - Noncore (adjacent to micro area, with no town of ≥ 2,500)","Farming",NA,NA,NA,NA,NA,NA
40059,"3797",30.8,22,NA,NA,11,"No",2.3,"55112 ",106.2,"9 - Nonmetro (rural or < 2,500 urban pop., not adjacent to metro)","10 - Noncore (adjacent to micro area, with no town of ≥ 2,500)","Farming",NA,NA,NA,NA,NA,NA
40061,"12668",37.4,14.7,NA,NA,23.3,"No",5.1,"37776 ",72.8,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","6 - Noncore (adjacent to small metro, with a town of ≥ 2,500)","Mining",NA,NA,NA,NA,NA,NA
40063,"13335",39.2,12.9,NA,NA,24.6,"No",4.2,"37566 ",72.4,"7 - Nonmetro (2,500 to 19,999 urban pop., not adjacent to metro)","9 - Noncore (adjacent to micro area, with a town of 2,500 to 19,999)","Farming",NA,NA,NA,NA,NA,NA
40065,"24949",27.6,20.9,NA,NA,15.3,"No",3,"47747 ",92,"7 - Nonmetro (2,500 to 19,999 urban pop., not adjacent to metro)","8 - Micropolitan (not adjacent to metro area)","Government",NA,NA,NA,NA,NA,NA
40067,"6123",39.4,13.9,NA,NA,24.7,"No",3.4,"37338 ",71.9,"8 - Nonmetro (rural or < 2,500 urban pop., adjacent to metro)","7 - Noncore (adjacent to small metro, with a town of ≤ 2,500)","Farming",NA,NA,NA,NA,NA,NA
40069,"10949",35.6,17.2,NA,NA,19.5,"No",2.9,"39756 ",76.6,"9 - Nonmetro (rural or < 2,500 urban pop., not adjacent to metro)","9 - Noncore (adjacent to micro area, with a town of 2,500 to 19,999)","Nonspecialized",NA,NA,NA,NA,NA,NA
